Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 Provisional
United States,"Coal, peat and oil shale",Imports (PJ),7,6,30,120,68,62,84,212,148,45,38,21,33,47,63,64,67,121,129,89,115,142,225,232,227,203,266,316,313,419,589,536,705,865,820,971,929,883,534,479,345,244,212,266,253,218,171,131,145,111,119,139,87
United States,"Coal, peat and oil shale",Exports (PJ),-1406,-1380,-1299,-1463,-1596,-1449,-1310,-1087,-1763,-2432,-2910,-2759,-2058,-2175,-2463,-2271,-2121,-2538,-2690,-2846,-2934,-2756,-2026,-1935,-2388,-2449,-2279,-2174,-1574,-1604,-1236,-1013,-1081,-1173,-1233,-1234,-1452,-2018,-1459,-2019,-2653,-3106,-2850,-2395,-1841,-1516,-2410,-2871,-2335,-1720,-2152,-2188,-2125
United States,"Coal, peat and oil shale",Total energy supply (PJ),11697,12115,13023,13065,12833,14289,14359,14940,15364,15752,16173,15510,16238,17139,17810,17267,18278,19000,19227,19241,19026,19304,19769,19883,19811,20541,21131,21221,21392,22317,21979,22294,22236,23089,23332,23009,23180,22804,20274,20997,20012,17738,18095,18072,15660,14301,13848,13426,11510,9280,10635,10016,9041
United States,"Coal, peat and oil shale",Total final consumption (PJ),3287,3189,3102,3037,2782,2650,2657,2717,2830,2352,2544,2145,2313,2467,2377,2295,2219,2321,2179,2329,2297,1446,1329,1339,1271,1249,1331,1311,1366,1363,1382,1320,1361,1451,1311,1328,1298,1259,985,1124,1028,918,939,930,817,733,712,701,645,540,568,553,..
United States,"Crude, NGL and feedstocks",Imports (PJ),3930,5154,7397,7755,10707,13127,16072,15306,15686,12729,10876,9030,8667,9023,8631,10715,11744,12611,14249,14697,14272,15214,16898,17555,17546,18578,20151,21020,21122,21950,22651,22142,23448,24865,25100,25318,25049,24661,22449,22599,21893,20125,18032,16973,17097,18304,18544,18083,16073,13947,14450,14699,15248
United States,"Crude, NGL and feedstocks",Exports (PJ),-3,-1,-4,-6,-35,-17,-132,-194,-173,-209,-157,-170,-146,-108,-137,-101,-103,-105,-81,-88,-67,-82,-73,-86,-95,-209,-310,-357,-367,-258,-140,-150,-145,-160,-206,-235,-244,-272,-353,-389,-377,-458,-845,-1488,-1896,-2128,-3302,-5242,-7085,-7555,-7243,-8395,-9293
United States,"Crude, NGL and feedstocks",Total energy supply (PJ),26902,28220,29708,28900,30955,32910,35751,35967,35935,33099,30921,29574,29096,29992,29798,31370,31670,32363,32652,32805,32400,32933,33919,34198,34318,35198,36325,36560,36311,37139,37523,37003,37781,38598,38167,38432,38154,37304,36046,36696,36715,36681,36733,38121,39085,39447,40577,41485,41098,36261,38352,39834,41134
United States,"Crude, NGL and feedstocks",Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,151,85,88,103,105,180,126,185,238,0,0,0,0,..
United States,Oil products,Imports (PJ),4466,4978,5777,5084,2868,2993,3569,3165,2679,2174,2062,2148,2377,2822,2441,2796,2750,3300,3013,2606,2243,2187,2046,2151,1751,2256,2213,2420,2595,3175,3411,3226,3560,4150,4937,4716,4524,3871,3415,3490,3136,2932,2928,2807,3129,3129,3076,3194,3414,3021,3593,3051,2737
United States,Oil products,Exports (PJ),-456,-454,-468,-446,-374,-397,-381,-373,-466,-455,-605,-1126,-1062,-1044,-1098,-1265,-1252,-1322,-1460,-1540,-1798,-1709,-1806,-1667,-1639,-1701,-1759,-1574,-1561,-1858,-1869,-1886,-1998,-2049,-2224,-2496,-2752,-3571,-3837,-4422,-5389,-5642,-5820,-6669,-7184,-7843,-8769,-9263,-9186,-8569,-8762,-9525,-9518
United States,Oil products,Total energy supply (PJ),3327,4368,4518,3822,1518,1936,1559,1998,761,267,263,307,624,529,744,127,482,809,550,-1118,-1376,-1273,-1584,-1229,-1428,-1180,-1454,-1111,-282,-666,-441,-251,-99,151,735,-163,-317,-1796,-2509,-2929,-4015,-4364,-4344,-5754,-6029,-6609,-7490,-7919,-7804,-6860,-6384,-8113,-8422
